DATE,vwretd,vwretx,ewretd,ewretx,sprtrn,spindx,totval,totcnt,usdval,usdcnt
19251231,,,,,,12.46,27487487.20,503,,
19260130,0.000561,-0.001395,0.023174,0.021395,0.022472,12.74,27624240.80,506,27412916.20,496
19260227,-0.033046,-0.036587,-0.053510,-0.055547,-0.043956,12.18,26752064.10,514,27600952.10,500
19260331,-0.064002,-0.070021,-0.096824,-0.101404,-0.059113,11.46,25083173.40,519,26683758.10,507
19260430,0.037029,0.034043,0.032975,0.030156,0.022688,11.72,25886743.80,521,24920555.60,513
19260528,0.012095,0.008585,0.001035,-0.001752,0.007679,11.81,26187807.90,525,25742578.10,515
19260630,0.053664,0.046189,0.050487,0.044543,0.043184,12.32,27537177.20,526,26092831.00,520
19260731,0.031411,0.029224,0.013051,0.010819,0.045455,12.88,28009656.50,520,27049400.90,510
19260831,0.028647,0.025358,0.031002,0.028997,0.017081,13.10,29042482.90,532,27925440.30,516
19260930,0.005787,0.000030,-0.006499,-0.011239,0.022901,13.40,28919740.60,529,28889963.10,527
19261030,-0.028996,-0.031069,-0.034630,-0.036784,-0.031343,12.98,28100520.50,536,28766034.50,525
19261130,0.028554,0.022979,0.024776,0.022222,0.022342,13.27,28900725.00,535,27853592.20,530
19261231,0.029211,0.021422,0.025516,0.019067,0.016579,13.49,30273387.20,540,28886334.00,533
19270131,0.002416,0.000053,0.012556,0.010122,-0.020756,13.21,30457880.90,544,30266794.40,536
19270228,0.045370,0.041175,0.055748,0.053372,0.047691,13.84,31953471.30,546,30431359.70,538
19270331,0.003756,-0.002242,-0.019290,-0.024180,0.006503,13.93,31914640.10,548,31819948.20,541
19270430,0.007225,0.005134,0.007494,0.005305,0.017229,14.17,32173935.30,550,31791256.60,542
19270531,0.057773,0.053623,0.062691,0.059557,0.052223,14.91,34245736.10,555,32069194.80,545
19270630,-0.021087,-0.027406,-0.019708,-0.025178,-0.009390,14.77,33526101.20,564,34204273.80,551
19270730,0.075279,0.072869,0.058080,0.055686,0.064997,15.73,35804068.40,559,33356951.10,554
19270831,0.022490,0.018438,0.004247,0.002092,0.044501,16.43,36645466.70,563,35541619.20,551
19270930,0.049924,0.045003,0.032308,0.027563,0.043214,17.14,39953116.60,578,36568812.40,559
19271031,-0.040770,-0.042594,-0.038529,-0.040343,-0.053092,16.23,38150716.10,581,39709539.90,572
19271130,0.068453,0.063299,0.097758,0.095375,0.067776,17.33,40447439.40,583,37848373.70,574
19271231,0.023782,0.018206,0.029677,0.024485,0.019042,17.66,41806899.30,588,40272832.20,579
19280131,-0.003340,-0.005101,0.032441,0.030642,-0.005096,17.57,41155932.80,593,40895657.40,582
19280229,-0.014478,-0.018119,-0.022508,-0.024489,-0.017644,17.26,40298678.60,589,40787075.40,584
19280331,0.090478,0.085582,0.071583,0.067601,0.108343,19.13,43946023.20,587,40067043.90,580
19280430,0.043846,0.042082,0.087466,0.085762,0.032410,19.75,45761043.50,588,43743364.20,580
19280531,0.017690,0.013950,0.037591,0.035411,0.012658,20.00,46689799.90,597,45704880.50,586
19280630,-0.045245,-0.050289,-0.069074,-0.072892,-0.040500,19.19,44600923.60,592,46410369.60,587
19280731,0.009400,0.007626,0.003047,0.001090,0.012507,19.43,45217671.80,601,44527037.20,588
19280831,0.070206,0.066186,0.058396,0.056325,0.074112,20.87,48489919.60,605,45199679.60,598
19280929,0.031498,0.028040,0.049244,0.046110,0.023958,21.37,50127369.20,612,48254739.60,602
19281031,0.019228,0.017650,0.017469,0.015759,0.014506,21.68,51252490.70,617,49894470.30,607
19281130,0.121500,0.116383,0.115203,0.112897,0.119926,24.28,57564519.20,625,51155984.90,612
19281231,0.005557,0.001348,-0.005552,-0.009705,0.002883,24.35,59829707.90,630,57315574.00,617
19290131,0.053935,0.052346,0.033526,0.030825,0.057084,25.74,63751694.90,637,59630158.40,621
19290228,-0.000446,-0.003386,0.006487,0.004749,-0.005828,25.59,62941161.00,642,63429030.10,629
19290328,-0.007808,-0.011795,-0.032105,-0.035490,-0.002345,25.53,62898768.00,643,62706827.80,634
